title,channel,url,duration_sec,views,relevance_score,relevance_notes,batch
"Claude Cowork (Fully Tested): I might get ADDICTED to this NEW CLAUDE CODE FEATURE!","AICodeKing","https://www.youtube.com/watch?v=8wyJ9dOgwHQ",695,11620,4,"Full test: Obsidian vault organization, 2025 Rewind report generation. Mentions bugs/errors. Compares to Verdent alternative.",3
"Claude Cowork: Raw HR Data → Executive Insights in 15 Min","Johannes Sundlo","https://www.youtube.com/watch?v=A4W3dpHOKHo",901,606,5,"Impressive niche use case: unstructured people analytics → PowerPoint + interactive dashboard + chat function. Real HR workflow.",4
"I Tested Claude Cowork on a Real Project - Here's What Happened","The Viable Edge | Vibe Marketing | AI Fluency","https://www.youtube.com/watch?v=JsainWRGs5A",1058,640,5,"Real project test (PDP Forge). Marketing work: positioning audit, landing page copy, launch checklist. Honest pros/cons. Very practical.",4
"NEW Claude Cowork AI Agent is INSANE!","Julian Goldie SEO","https://www.youtube.com/watch?v=XDnrOk73RNM",522,3393,3,"Julian Goldie #2. Use cases + research agent demo. Similar content to first video - some repetition.",4
"Claude Cowork: First General Agents from Anthropic","Prompt Engineering","https://www.youtube.com/watch?v=9wQHu5X8oOY",734,8515,4,"Desktop org + YouTube data analysis tests. Technical perspective from engineering channel.",4
"Ho provato Claude Cowork: l'AI che lavora al posto tuo","Erik Olivero","https://www.youtube.com/watch?v=4JQP5ylWiHo",1285,2909,4,"Italian. Excel cleaning → PDF report test. Compares Cowork ($200) vs Antigravity (free). Interesting cost analysis but language barrier.",4
"This New Claude Workflow Will Make You Unstoppable (Claude Cowork)","Alex Lieberman","https://www.youtube.com/watch?v=WeAzIM6mHQc",1226,2706,4,"Morning Brew co-founder testing. Interview prep, web app building, marketing strategy. Founder perspective valuable.",4
"Claude Cowork is Taking Over & More AI Use Cases","The AI Advantage","https://www.youtube.com/watch?v=b1MBaMze_nA",907,12843,3,"AI news roundup. Cowork (0:55-7:20) is ONE topic among many (ElevenLabs, Midjourney, shopping AI, etc). Low Cowork focus.",4
"Claude Cowork is INSANE (Try These Use Cases Out) | EP117","AI Agents Podcast","https://www.youtube.com/watch?v=yqa-9wttrMg",3237,67632,5,"54-min podcast deep dive! Real use cases: folder org, presentations, browser automation, Jotform integration, client reports. Extensive.",4
"Claude Cowork Shows the Shift to Agentic AI","Full Disclosure","https://www.youtube.com/watch?v=x8srAijVcRo",51,11403,2,"51-second trailer/teaser. Too brief for meaningful content.",4
"Anthropic's Cowork: Claude Code for the Rest of Your Work","Developers Digest","https://www.youtube.com/watch?v=SpqqWaDZ3ys",695,20944,4,"Blog post analysis + hands-on demo. Presentation creation, parallel tasks, Skills. Good but somewhat dry technical walkthrough.",4
"Automate ANYTHING with Claude Cowork, NotebookLM & Veo 3.1","Julian Goldie SEO","https://www.youtube.com/watch?v=AvbJiwBJRCA",2179,1200,2,"Livestream covering multiple tools (NotebookLM, Veo 3.1). Cowork is just one part. Low dedicated focus.",4
"Claude Cowork: From Beginner to Expert in 10 Minutes!","Julian Goldie SEO","https://www.youtube.com/watch?v=rlbIfrWVMcA",616,1120,3,"Julian Goldie #4. 10-min quick tutorial. Repetitive with earlier Goldie videos.",4
"Claude Cowork: I Went From 1 Person to 50 Employees Overnight","AI Learning Communities","https://www.youtube.com/watch?v=iz0tbZs_-7Q",1905,1726,4,"Course creator perspective: tutorials, emails, social posts, frameworks. Solopreneur use case angle. Good but hyperbolic title.",4
"New Free OpenWork DESTROYS Claude Cowork?","Julian Goldie SEO","https://www.youtube.com/watch?v=BdiRpwaCkJY",589,12340,2,"About OpenWork alternative, not Claude Cowork itself. Comparison/competitor focus.",4
"LIVE: New Claude Cowork AI Agent is Here!","Julian Goldie SEO","https://www.youtube.com/watch?v=0JqoNLd0Ww0",3804,2191,3,"Livestream (63 min). Website building, presentations, desktop automation. Long but potentially unfocused live format.",4
"Cowork: NEW Claude Code AI Agent is INSANE!","Julian Goldie SEO","https://www.youtube.com/watch?v=KLzcqt9fIus",2935,6281,2,"Another Julian livestream. ~49 min. Likely repetitive with other Goldie content.",4
"Anthropic Launched Claude Cowork","Hostinger Academy","https://www.youtube.com/watch?v=EsA89ZM67LE",48,3310,2,"48-second short/ad. Too brief + promotional for Hostinger.",4
"I tried claude cowork (it doesn't work)","Mehul Mohan","https://www.youtube.com/watch?v=U58Mb3jKSrA",555,3597,3,"Negative review: 'it doesn't work'. Useful for understanding limitations/failures but brief (9 min).",4
"Everything you need to know about Claude Cowork in 19 minutes","AI with Remy","https://www.youtube.com/watch?v=AbEUUXCMTSU",1175,451,5,"19-min comprehensive guide. Business plan demo, Chat vs Cowork comparison, when to use what. Very clear teaching style.",4
"Probé Claude CoWork: ¡Adiós al Trabajo Manual!","Carlos Alarcón - AI","https://www.youtube.com/watch?v=W_-NL4hc5_w",1176,1992,4,"Spanish tutorial. 3 demos: downloads org, Google Calendar integration, LinkedIn content creation. Good but language barrier.",5
"BREAKING: NEW Claude Cowork Update","Julian Goldie SEO","https://www.youtube.com/watch?v=i15qtd_uxK8",4438,2793,2,"Julian livestream #10+. Very long (74 min), likely repetitive/unfocused.",5
"Anthropic Changed the Game in 10 DAYS","Wes Roth","https://www.youtube.com/watch?v=bEbaQMKmfdc",1144,41356,4,"Wes Roth analysis. Covers how Cowork was built in 10 days. 'Why it matters' narrative + broader AI context.",5
"Claude Code for Non-Technical People (Cowork Mode Demo)","Brooke Wright - AI Strategist + Educator","https://www.youtube.com/watch?v=E-3WIoXgaJw",781,129,5,"Real demo: 1000+ files organized, branded presentation, competitor research. For non-technical business owners. Very practical.",5
"Claude Cowork as an Accounting Coworker! Auditing Will Never be the Same...","Pythonic Accountant","https://www.youtube.com/watch?v=Y7OlW176RMQ",1134,30,5,"Niche accounting use case: 30K+ GL records, audit procedures, sample selection, Excel documentation. Shows hallucination issues. Very specialized.",5
"Claude Cowork: Why RevOps Teams Are Switching Immediately","Marawan Aziz | RevOps Automation & Strategy","https://www.youtube.com/watch?v=NoLLe68f7KM",1190,463,5,"Niche RevOps use case: board deck prep, sales coaching summary, event lead processing. B2B revenue operations angle. Specialized but high-value.",5
"Claude Just Launched 'Cowork' - It's Basically Claude Code For NON-Technical Work","Varun Mayya","https://www.youtube.com/watch?v=FV-oUNTZ_LU",47,115812,2,"47-second viral short (116K views). Too brief for substance but high reach.",5
"Claude Cowork is Claude Code for ANYONE (finally)","Brock Mesarich | AI for Non Techies","https://www.youtube.com/watch?v=joICRh3Uy3Q",58,14921,2,"58-second short. Brock's third video on topic - too brief.",5
"Claude Cowork","ZAUEY (Claire Zau)","https://www.youtube.com/watch?v=xUzOt8xae7E",65,1809,2,"65-second explainer. Minimal depth.",5
"Is Claude Cowork the TOP Productivity Tool for Teams?","Tim Cakir","https://www.youtube.com/watch?v=X2cbONBd6Xk",69,10,3,"Very low views (10!) despite recent upload. Brief (69 sec) - likely early/test content.",5
"Claude Cowork Takes Over Lovable (I Did Nothing)","Luuk Alleman","https://www.youtube.com/watch?v=0kiq2Je2Ewo",519,4509,3,"Cowork + Lovable integration demo. 8 min. Niche technical combo.",5
"Live: FREE Claude Cowork Alternative + Antigravity 2.0: Build Anything!","Julian Goldie SEO","https://www.youtube.com/watch?v=L6d0qt68RvY",4803,1687,2,"Julian #11+. 80-min livestream about ALTERNATIVES (Antigravity), not Cowork itself. Off-topic.",5
"Claude Cowork vs Claude Code (9 mins)","Zubair Lutfullah Kakakhel","https://www.youtube.com/watch?v=yXVbWd8VaDE",541,658,4,"Direct comparison. Shows agency workflows (Sales/Marketing/Delivery). MCP tools demo. Practical for deciding which to use.",5
"AI News: Gemini UPGRADED, GPT-5.3 LEAKED, Claude Cowork, AI Doctors!","Universe of AI","https://www.youtube.com/watch?v=iUQjxiJAJoE",543,6630,2,"News roundup. Cowork (2:24-4:52) is ONE of 4+ topics. Low Cowork focus.",5
"Mind blowing use cases for Claude cowork","Softgirlnocode","https://www.youtube.com/watch?v=c5P1-ZLK1Ww",40,4401,2,"40-second TikTok-style short. No substance.",5
"Claude Cowork vs Notebook LM - this isn't even close","AI Learning Communities","https://www.youtube.com/watch?v=2fu-O_bhbDU",743,13850,3,"Comparison vs NotebookLM for course creators. Useful angle but more about NotebookLM limitations than Cowork features.",5
"Claude Cowork is going to make normal work 100x easier #shorts","Kallaway","https://www.youtube.com/watch?v=P8jpKCcjJtQ",63,11438,2,"63-second short. Hype/overview, minimal how-to.",5
"How to Use Claude Code Without the Terminal (Claude Cowork)","Ryan Doser","https://www.youtube.com/watch?v=h0sDExe5kjY",752,1524,4,"12-min tutorial. Use cases: folder org, YouTube→teaser videos, podcast clips. MCP integrations mentioned. Solid intro.",5
"Testing Claude Cowork on a Data Model","Data with Tableau Tim","https://www.youtube.com/watch?v=UIjV_V8Ut-k",3358,187,4,"56-min deep dive: Tableau + Cowork for Bookshop dataset analysis. Very niche (Tableau users) but thorough test of AI validation.",5
"Claude Cowork: Automate & Build ANYTHING!","Julian Goldie SEO","https://www.youtube.com/watch?v=ACWQR6KuYLo",926,726,2,"Julian #12. Generic hype title, likely repetitive.",6
"Claude Cowork Is Here! Full Breakdown + Real Testing","Tim Cakir","https://www.youtube.com/watch?v=f4OmeXwCCl8",938,350,4,"Website prototype build + weekly plan demo. Parallel agents shown. Small channel but substantive (15 min).",6
"Anthropic: Our AI just created a tool that can 'automate all white collar work', Me:","AI Explained","https://www.youtube.com/watch?v=wYs6HWZ2FdM",1142,89357,4,"19-min analysis: hype vs reality, productivity stats, job implications. Critical perspective from AI Explained. Valuable counterpoint.",6
"Claude Cowork - your new employee?","Mehul Mohan","https://www.youtube.com/watch?v=F8-ei9crxl0",52,15252,2,"52-sec promo/short. Too brief.",6
"Claude Cowork: Just Made AI Agents Stupid Simple","AI Learning Communities","https://www.youtube.com/watch?v=ntptjvn370g",963,1153,3,"AI Learning Communities #4. Content creation, email, social media for course creators. Likely repetitive with earlier videos from channel.",6
"I Used Claude Cowork to Analyze My Competitors in 10 Minutes (Full Walkthrough)","ChrisMc - LaunchRight","https://www.youtube.com/watch?v=Pf0M3Peyjoc",716,320,5,"Competitor analysis use case: 10 competitors, pricing, customer feedback, strategy. Specific startup angle. Good niche demo.",6
"Claude Code just EVOLVED","Wes Roth","https://www.youtube.com/watch?v=8Q8L5x2oBBg",2031,46305,3,"Wes Roth #2. Multi-topic: Cowork (01:37-13:18), Google/Apple, OpenAI leak, Deepseek. Cowork is 1/4 of content.",6
"Meet Cowork: Claude's AI Coworker That Actually Does the Work","Analytics Vidhya","https://www.youtube.com/watch?v=tbpAefBVapk",57,1793,2,"57-sec explainer. Too brief.",6
"How Anthropic Built 'Claude Cowork' in 10 Days... With Only An AI Model","Limitless Podcast","https://www.youtube.com/watch?v=FMfoR1h8axc",1419,4931,4,"23-min podcast: how it was built, impact on jobs, automation. Includes demo. Good 'why' context.",6
"Antigravity + Claude Cowork Is INSANE! 🤯","Julian Goldie SEO","https://www.youtube.com/watch?v=9pmdzw-sHUU",629,1549,2,"Julian #13+. About using Antigravity WITH Cowork. Off-topic combo.",6
"Claude Cowork just Killed Hours of Manual Work #ClaudeCode","Chris Coffee","https://www.youtube.com/watch?v=T3zJBnlTcqc",43,5244,2,"43-sec short. Minimal substance.",6
"Claude Code Builds n8n Workflows INSTANTLY...","Nate Herk | AI Automation","https://www.youtube.com/watch?v=4YJUHyfrTIw",108,30592,1,"About Claude CODE (not Cowork). n8n automation. Not relevant to Cowork search.",6
"Claude Code Tutorial for Beginners","Kevin Stratvert","https://www.youtube.com/watch?v=eMZmDH3T2bY",883,114573,1,"Claude CODE tutorial for developers (14 min). NOT about Cowork. Off-topic.",6
"STOP Asking Questions (Claude Cowork Works Differently)","AI Learning Communities","https://www.youtube.com/watch?v=QWQmODvnOvw",796,736,4,"Prompting strategy: Agent Brief Blueprint. How to brief vs prompt. Useful meta-content on using Cowork correctly.",6
"New FREE Eigent AI DESTROYS Claude Cowork?","Julian Goldie SEO","https://www.youtube.com/watch?v=_5QeLwdI-F0",751,3541,2,"Julian #14+. About Eigent alternative (Z AI). Comparison, not Cowork tutorial.",6
"Claude Cowork: The AI Agent for Everyday Work! Plus LEAKED Features","Universe of AI","https://www.youtube.com/watch?v=niFPHIsWAyo",548,649,3,"9-min overview + leaked upcoming features discussion. Some forward-looking value.",6
"OpenWork & Shadow DESTROYS Claude Cowork? (FREE!)","Julian Goldie SEO","https://www.youtube.com/watch?v=UVKHHWuFvUk",710,1589,2,"Julian #15+. OpenWork + Shadow alternatives. Off-topic.",6
"Claude Cowork automatizza il 90% del lavoro da ufficio ...","Antonio Guadagno","https://www.youtube.com/watch?v=_iGIxgrjrLc",436,5050,4,"Italian. 5 real examples, Chrome integration. Good but language barrier.",6
"Anthropic's Claude Cowork turns AI into an active operator | AI | #chatgpt #claude #claudeai","AI For Techies","https://www.youtube.com/watch?v=8fYYu20nhrY",52,625,2,"52-sec short. Minimal depth.",6
